院校名称,省份,专业组名称,投档线,最低投档排名,,,,,,,,,,,,,,,
哈尔滨工程大学,黑龙江,第101组,583,3774,,,,,,,,,,,,,,,
中国石油大学(华东),山东,第101组,584,3649,,,,,,,,,,,,,,,
贵州大学,贵州,第102组,584,3633,,,,,,,,,,,,,,,
贵州大学,贵州,第101组,581,4000,,,,,,,,,,,,,,,
"合肥工业大学(宣城
校区)",安徽,第101组,583,3739,,,,,,,,,,,,,,,
"合肥工业大学(宣城
校区)",安徽,第102组,581,3993,,,,,,,,,,,,,,,
浙江师范大学,浙江,第102组,580,4067,,,,,,,,,,,,,,,
浙江师范大学,浙江,第101组,570,5788,,,,,,,,,,,,,,,
山东理工大学,山东,第101组,543,12567,,,,,,,,,,,,,,,
东北财经大学,辽宁,第101组,580,4149,,,,,,,,,,,,,,,
东北财经大学,辽宁,第103组,562,7296,,,,,,,,,,,,,,,
东北财经大学,辽宁,第102组,554,9462,,,,,,,,,,,,,,,
衡阳师范学院,湖南,第103组,543,12604,,,,,,,,,,,,,,,
扬州大学,江苏,第103组,580,4089,,,,,,,,,,,,,,,
扬州大学,江苏,第102组,577,4654,,,,,,,,,,,,,,,
湘潭大学,湖南,第102组,580,4055,,,,,,,,,,,,,,,
湘潭大学,湖南,第101组,578,4352,,,,,,,,,,,,,,,
上海师范大学,上海,第103组,580,4129,,,,,,,,,,,,,,,
上海师范大学,上海,第104组,573,5271,,,,,,,,,,,,,,,
上海师范大学,上海,第101组,572,5487,,,,,,,,,,,,,,,
上海师范大学,上海,第102组,560,7920,,,,,,,,,,,,,,,
浙江工商大学,浙江,第101组,579,4215,,,,,,,,,,,,,,,
山西大学,山西,第101组,578,4345,,,,,,,,,,,,,,,
山西大学,山西,第102组,570,5809,,,,,,,,,,,,,,,
山西大学,山西,第104组,567,6345,,,,,,,,,,,,,,,
赣南师范大学,江西,第105组,542,12654,,,,,,,,,,,,,,,
内蒙古大学,内蒙古,第102组,578,4416,,,,,,,,,,,,,,,
内蒙古大学,内蒙古,第103组,570,5718,,,,,,,,,,,,,,,
内蒙古大学,内蒙古,第101组,566,6451,,,,,,,,,,,,,,,
南京财经大学,江苏,第101组,578,4409,,,,,,,,,,,,,,,
