序号,院校名称,学校标识码,主管部门,所在地,层次,省市,性质,研究生,共建方,城市级,考研,推免,深造,国内升学,出国,行业隶属,顶尖专业,特色专业,官网,可点击链接
1212,泉州轻工职业学院,4135014232,福建省教育厅,泉州市,专科,福建,民办,,,二线,,,,,,,,,http://www.qzqgxy.com/,http://www.qzqgxy.com/
1213,厦门安防科技职业学院,4135014257,福建省教育厅,厦门市,专科,福建,民办,,,二线,,,,,,,,,http://www.xmafkj.com/,http://www.xmafkj.com/
1214,泉州幼儿师范高等专科学校,4135014331,福建省,泉州市,专科,福建,公办,,,二线,,,,,,,,,http://www.qzys.net/,http://www.qzys.net/
1215,闽江师范高等专科学校,4135014490,福建省,福州市,专科,福建,公办,,,二线,,,,,,,,,http://www.fzmjtc.cn/,http://www.fzmjtc.cn/
1216,泉州工程职业技术学院,4135014503,福建省教育厅,泉州市,专科,福建,民办,,,二线,,,,,,,,,http://www.qzgcu.cn/,http://www.qzgcu.cn/
1217,福州墨尔本理工职业学院,4135016411,福建省教育厅,福州市,专科,福建,中外合作办学,,,二线,,,,,,,,,http://www.fmp.edu.cn/,http://www.fmp.edu.cn/
1218,南昌大学,4136010403,江西省,南昌市,本科,江西,211,推免,江西省、教育部,二线,26.26,15.3,36.93%,35.67%,1.26%,,,材料成型及控制工程、通信工程、医学影像学,http://www.ncu.edu.cn/,http://www.ncu.edu.cn/
1219,华东交通大学,4136010404,江西省,南昌市,本科,江西,共建,推免,国家铁路局、江西省,二线,9.5,2.2,20.96%,,,铁道部,,电气工程及其自动化、土木工程、给水排水工程,http://www.ecjtu.jx.cn/,http://www.ecjtu.jx.cn/
1220,东华理工大学,4136010405,江西省,抚州市,本科,江西,共建,,国防科技工业局、江西省,四线,12.42,,21.00%,19.90%,1.10%,中国核工业总公司,,资源勘查工程、水文与水资源工程,https://www.ecut.edu.cn/,https://www.ecut.edu.cn/
1221,南昌航空大学,4136010406,江西省,南昌市,本科,江西,共建,推免,国防科技工业局、江西省,二线,12.5,2.3,34.81%,31.84%,2.97%,航天部,,金属材料工程、测控技术与仪器、电子信息工程,https://www.nchu.edu.cn/,https://www.nchu.edu.cn/
